Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Josephine the Singer and the Mice People (1994) - IMDb,Sergei Maslobojshchikov,6.6,Drama,Viktor Andrienko,1994,36,1h 35m
In Spite of Love (TV Movie 1994) - IMDb,David Greene,5.3,Drama,Michael Weller,1994,95,1h 40m
Spot-Check (Short 1994) - IMDb,Gerhard Ertl,8.5,Short,N/A,1994,6,3m
Spread the Word: The Persuasions Sing Acapella (1994) - IMDb,Fred Parnes,8.6,Documentary,N/A,1994,9,1h 20m
The Knickerbocker Gang: The Talking Grave (1995) - IMDb,Marijan David Vajda,4.6,Family,Rebecca Keeling,1995,67,1h 30m
Spring Awakening (TV Movie 1994) - IMDb,Jack Gold,6.7,Drama,Sherilyn Fenn,1994,104,1h 40m
Squanto: A Warrior's Tale (1994) - IMDb,Xavier Koller,6.1,Adventure,Adam Beach,1994,1.5K,1h 42m
"""Mystery!: Cadfael"" St. Peter's Fair (TV Episode 1997) - IMDb",Herbert Wise,7.7,Crime,Derek Jacobi,TV-14,232,1h 16m
The St. Tammany Miracle (1994) - IMDb,Joy N. Houck Jr.,4.8,Basketball,Mark-Paul Gosselaar,1994,376,1h 30m
Stace (Short 1994) - IMDb,Sasa Gedeon,4.0,Short,Sasa Gedeon,1994,6,15m
Staggered (1994) - IMDb,Martin Clunes,5.8,Comedy,Martin Clunes,1994,814,1h 35m
Stalked (1994) - IMDb,Douglas Jackson,5.2,Crime,Pierre David,1994,248,1h 35m
Stand Back (Short 1994) - IMDb,Sylvie Michel,2.4,Short,N/A,1994,6,10m
Der Stand der Bauern (1995) - IMDb,Christian Iseli,6.2,Documentary,Hanspeter Berry,1995,9,1h 29m
Star Struck (TV Movie 1994) - IMDb,Jim Drake,5.3,Comedy,Kirk Cameron,1994,294,TV-14
Star Trek: Generations (1994) - IMDb,David Carson,6.6,Space Sci-Fi,Gene Roddenberry,1994,88K,1h 58m
"""Star Trek: The Next Generation"" All Good Things... (TV Episode 1994) - IMDb",Winrich Kolbe,9.1,Action,Gene Roddenberry,TV-PG,9.4K,1h 45m
Stargate (1994) - IMDb,Roland Emmerich,7.0,Desert Adventure,Kurt Russell,1994,210K,1h 56m
"""Ein starkes Team"" Gemischtes Doppel (TV Episode 1994) - IMDb",Neithardt Riedel,6.0,Crime,Maja Maranow,N/A,14,1h 30m
State of Emergency (TV Movie 1994) - IMDb,Lesli Linka Glatter,6.2,Drama,Joe Mantegna,1994,162,R
