Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Carnosaur 3: Primal Species (1996) - IMDb,Jonathan Winfrey,3.1,Action,Rob Camilletti,1996,2.1K,1h 25m
"Carpati: 50 Miles, 50 Years (1996) - IMDb",Yale Strom,8.3,Documentary,N/A,1996,25,1h 20m
Carpool (1996) - IMDb,Arthur Hiller,5.0,Comedy,Tom Arnold,1996,5.4K,1h 29m
Carried Away (1996) - IMDb,Bruno Barreto,6.3,Drama,Dennis Hopper,1996,1.7K,1h 49m
Casa Hollywood (1996) - IMDb,Mark Decker,5.7,Drama,Rob Steinberg,1996,14,1h 30m
A Case for Life (TV Movie 1996) - IMDb,Eric Laneuville,6.1,Drama,Valerie Bertinelli,1996,165,1h 40m
"""Ruth Rendell Mysteries"" A Case of Coincidence: Part One (TV Episode 1996) - IMDb",Gavin Millar,7.0,Crime,Caroline Bliss,TV-14,100,1h
"Casting de Virgens, Operários e Prostitutas (Short 1996) - IMDb",João Pinto,N/A,Short,Marina Albuquerque,1996,N/A,7m
Castle Ghosts of Ireland (1996) - IMDb,Gary Birch,7.7,Drama,Robert Hardy,1996,59,52m
Castle Ghosts of Scotland (1996) - IMDb,Alexandra Beazley,8.1,Drama,N/A,1996,64,52m
Cat Among the Pigeons (1996) - IMDb,Pamela Meekings-Stewart,6.5,Documentary,N/A,1996,25,N/A
Cat Swallows Parakeet and Speaks! (1996) - IMDb,Ileana Pietrobruno,7.4,Drama,Rachel Cronin,1996,42,1h 16m
Cater-Waiter (Short 1996) - IMDb,Eric Lane,7.7,Short,Tim Deak,1996,14,14m
Caught (1996) - IMDb,Robert M. Young,6.5,Drama,Edward Pomerantz,1996,1.7K,1h 50m
Cautionary Tales for Children (Short 1996) - IMDb,John Fukushima,N/A,Short,Megan Bernstone,1996,N/A,14m
Cavafy (1996) - IMDb,Yannis Smaragdis,5.7,Biography,Dimitris Katalifos,1996,501,1h 25m
La Celestina (1996) - IMDb,Gerardo Vera,5.2,Drama,Fernando de Rojas,1996,889,1h 32m
Celtic Pride (1996) - IMDb,Tom DeCerchio,5.3,Basketball,Judd Apatow,1996,11K,1h 31m
Centerfold (1996) - IMDb,Kelley Cauthen,4.5,Drama,Cheryl Bartel,1996,123,1h 26m
Master of Ceremonies (1996) - IMDb,Jirí Vercák,5.6,Dark Comedy,Eva Kanturková,1996,28,1h 30m
Acting Out (1996) - IMDb,Maurizio Zaccaro,6.1,Drama,Alessandro Haber,1996,24,1h 38m
Festival (1996) - IMDb,Im Kwon-taek,7.2,Comedy,Byeong-kyeong Ahn,1996,192,1h 48m
When the Cat's Away (1996) - IMDb,Cédric Klapisch,6.9,Comedy,Garance Clavel,1996,3.7K,1h 31m
Chain Reaction (1996) - IMDb,Andrew Davis,5.7,Action,Arne Schmidt,1996,57K,1h 47m
The Chain (1996) - IMDb,Luca Bercovici,4.3,Action,Luca Bercovici,1996,251,1h 36m
Chalk (1996) - IMDb,Rob Nilsson,7.4,Drama,Edwin Johnson,1996,44,2h 24m
Chall (1996) - IMDb,Jackie Shroff,N/A,N/A,N/A,1996,N/A,N/A
Shaman (1996) - IMDb,Bartabas,7.1,Adventure,N/A,1996,304,1h 40m
The Chamber (1996) - IMDb,James Foley,6.0,Legal Thriller,Chris O'Donnell,1996,16K,1h 53m
Chamchatka (TV Movie 1996) - IMDb,Mitja Novljan,4.9,Drama,Sebastian Cavazza,1996,10,1h 24m
Champions (1997) - IMDb,Peter Gathings Bunche,3.9,Action,Louis Mandylor,1997,340,1h 39m
Changing Habits (1997) - IMDb,Lynn Roth,5.8,Comedy,Moira Kelly,1997,376,1h 35m
Chapter Perfect (1997) - IMDb,Dan Brazda,5.4,Drama,Lucky Vanous,1997,49,1h 13m
Chargaff - Ein Irokese aus Czernowitz (1996) - IMDb,Ebba Sinzinger,N/A,Documentary,N/A,1996,N/A,1h 15m
Charleys Tante (TV Movie 1996) - IMDb,Sönke Wortmann,5.3,Comedy,Thomas Heinze,1996,162,1h 24m
Charlotte Sophie Bentinck (TV Mini Series 1996– ) - IMDb,Nanette Kuijpers,7.4,Drama,Nanette Kuijpers,1996–,26,1h 47m
Charms Zwischenfälle (1996) - IMDb,Michael Kreihsl,7.3,Comedy,Johannes Silberschneider,1996,65,1h 27m
Private Gold 3: The Chase (Video 1996) - IMDb,Jane Waters,6.3,Adult,Andy Priscilla,1996,14,X
Chasing the Dragon (TV Movie 1996) - IMDb,Ian Sander,6.2,Drama,Steve Lawson,1996,136,2h
"""L'histoire du samedi"" Chassés-croisés (TV Episode 1996) - IMDb",Denys Granier-Deferre,N/A,Drama,Zabou Breitman,N/A,N/A,1h 27m
Chateaubriand - Cabeça de Paraíba (Short 2000) - IMDb,Marcos Manhães Marins,N/A,Drama,Zécarlos Machado,2000,N/A,15m
The Cherokee Kid (TV Movie 1996) - IMDb,Paris Barclay,6.0,Comedy,Sinbad,1996,1.8K,PG-13
Cherry Poppers 13 (Video 1996) - IMDb,Jay Ashley,N/A,Adult,Jay Ashley,1996,N/A,X
Chess Kids (1996) - IMDb,Lynn Hamrick,7.4,Documentary,N/A,1996,28,51m
Chewing Gum (Short 1996) - IMDb,Jesper Dagöö,N/A,Comedy,Jonas Karlsson,1996,N/A,10m
La chica (1996) - IMDb,Bruno Gantillon,6.9,Comedy,Marine Delterme,1996,10,1h 28m
Childhood's End (1996) - IMDb,Jeff Lipsky,4.7,Comedy,Cameron Foord,1996,250,1h 55m
Children Only Once (1996) - IMDb,Sadhana Buxani,8.0,Documentary,N/A,1996,15,50m
Children Speak (Short 1996) - IMDb,Bozenna Heczko,7.0,Animation,N/A,1996,11,11m
Children of the Corn: The Gathering (Video 1996) - IMDb,Greg Spence,4.3,Horror,Naomi Watts,1996,5.6K,R
Children of the Revolution (1996) - IMDb,Peter Duncan,6.3,Dark Comedy,Judy Davis,1996,2.4K,1h 41m
Chinese Chocolate (1995) - IMDb,Yan Cui,5.0,Drama,Qi Chang,1995,130,1h 35m
Two Punks (1996) - IMDb,Shinji Aoyama,6.6,Crime,Takao Osawa,1996,96,1h 41m
Chloe's Blanket (1996) - IMDb,Lory Smith,N/A,Comedy,N/A,1996,N/A,N/A
Choisis-toi un ami... (1996) - IMDb,Mama Keïta,N/A,N/A,N/A,1996,N/A,N/A
Christmas Every Day (TV Movie 1996) - IMDb,Larry Peerce,6.2,Comedy,Stephen Alix,1996,1.2K,TV-G
The Christmas Tree (TV Movie 1996) - IMDb,Sally Field,6.8,Drama,Julie Salamon,1996,454,1h 33m
Christmas in Oz (Video 1996) - IMDb,Bert Ring,7.4,Animation,Shay Astar,1996,41,40m
Christmas in Washington (TV Special 1996) - IMDb,Dwight Hemion,5.1,Music,Jesse Allen,1996,29,1996
Chronicle of a Disappearance (1996) - IMDb,Elia Suleiman,7.0,Drama,Elia Suleiman,1996,913,1h 28m
Chronicle of a Genocide (1996) - IMDb,Danièle Lacourse,8.2,Documentary,N/A,1996,8,N/A
La cible (1997) - IMDb,Pierre Courrège,5.7,Comedy,Bernard Rosselli,1997,57,1h 35m
Tsikatriz (1997) - IMDb,Sebastián Alarcón,5.4,Drama,Luz Croxatto,1997,24,1h 27m
The Cyclone (1996) - IMDb,Leonardo Pieraccioni,6.8,Comedy,Leonardo Pieraccioni,1996,4.7K,1h 33m
UFC VI: Clash of the Titans (TV Special 1995) - IMDb,Mark Lucas,7.8,Sport,David Abbott,1995,234,Unrated
Class Reunion (TV Movie 1996) - IMDb,Donald Bull,5.6,Documentary,Joe Aerks,1996,11,2h
The Closest Thing to Heaven (1996) - IMDb,Dorne M. Pentes,8.1,Comedy,Michael Mattison,1996,25,1h 38m
Closing Time (1996) - IMDb,Masahiro Kobayashi,5.9,Drama,Sanshô Shinsui,1996,55,1h 21m
Der Clown (TV Movie 1996) - IMDb,Hermann Joha,4.3,Action,Sven Martinek,1996,208,1h 33m
Club V.R. (Video 1996) - IMDb,Gary Hudson,3.7,Crime,Michael Cain,1996,135,R
Clubhouse Detectives (1997) - IMDb,Eric Hendershot,6.6,Adventure,Michael Ballam,1997,449,1h 25m
Co-ed Call Girl (TV Movie 1996) - IMDb,Michael Ray Rhodes,4.5,Drama,Tori Spelling,1996,578,TV-14
The Cockroach That Ate Cincinnati (1996) - IMDb,Michael McNamara,6.8,Comedy,Alan Williams,1996,45,1h 35m
Le coeur fantôme (1996) - IMDb,Philippe Garrel,7.0,Psychological Drama,Marc Cholodenko,1996,204,1h 27m
The Cold Equations (TV Movie 1996) - IMDb,Peter Geiger,5.4,Drama,Stephen Berger,1996,445,Not Rated
"""Cold Feet"" Pilot (TV Episode 1997) - IMDb",Declan Lowney,8.4,Comedy,James Nesbitt,N/A,507,51m
Colonel Bunker (1996) - IMDb,Kujtim Çashku,7.2,Drama,Agim Qirjaqi,1996,61,1h 43m
Color Me Perfect (TV Movie 1996) - IMDb,Michele Lee,5.7,Drama,Michele Lee,1996,84,Not Rated
Color of a Brisk and Leaping Day (1996) - IMDb,Christopher Munch,6.1,Drama,Peter Alexander,1996,181,1h 27m
As You Want Me (1996) - IMDb,Carmine Amoroso,5.8,Comedy,Carmine Amoroso,1996,341,1h 40m
Commandments (1997) - IMDb,Daniel Taplitz,5.5,Dark Comedy,Aidan Quinn,1997,1.8K,1h 28m
My Sex Life... or How I Got Into an Argument (1996) - IMDb,Arnaud Desplechin,6.7,Comedy,Mathieu Amalric,1996,1.7K,2h 58m
Como Nascem os Anjos (1996) - IMDb,Murilo Salles,7.0,Drama,Jorge Durán,1996,361,1h 40m
Como un relámpago (1996) - IMDb,Miguel Hermoso,6.6,Drama,Santiago Ramos,1996,201,1h 45m
Traveling Companion (1996) - IMDb,Peter Del Monte,6.9,Drama,Peter Del Monte,1996,303,1h 44m
Le complexe de Toulon (1995) - IMDb,Jean-Claude Biette,7.5,Comedy,Jean-Christophe Bouvet,1995,31,1h 21m
La comète (TV Movie 1996) - IMDb,Claude Santelli,7.2,Drama,Samuel Labarthe,1996,7,1h 37m
La Comédie-Française ou L'amour joué (1996) - IMDb,Frederick Wiseman,6.7,Documentary,Georges Feydeau,1996,67,3h 43m
Conception (1998) - IMDb,Kevin Abosch,N/A,N/A,N/A,1998,N/A,N/A
The Confession (Short 1997) - IMDb,Edwin Baker,6.7,Comedy,N/A,1997,27,20m
Consequence (2000) - IMDb,Samer Al-Asadi,7.7,Drama,Marc Casabani,2000,14,1h 31m
Consigli per gli acquisti (1997) - IMDb,Sandro Baldoni,6.5,Satire,Ennio Fantastichini,1997,48,1h 30m
The Conspiracy of Fear (Video 1995) - IMDb,John Eyres,4.5,Action,Geraint Wyn Davies,1995,182,R
A Summer's Tale (1996) - IMDb,Éric Rohmer,7.6,Comedy,Melvil Poupaud,1996,11K,1h 53m
Contos da Rua (Short 1996) - IMDb,José Abreu,N/A,Drama,Marina Albuquerque,1996,N/A,35m
Conundrum (TV Movie 1996) - IMDb,Douglas Barr,5.5,Crime,Michael Biehn,1996,332,R
Conversation with the Beast (1996) - IMDb,Armin Mueller-Stahl,6.5,Drama,Armin Mueller-Stahl,1996,94,1h 35m
Corisco & Dadá (1996) - IMDb,Rosemberg Cariry,6.7,Drama,Chico Díaz,1996,135,1h 52m
A Corner of Paradise (1997) - IMDb,Peter Ringgaard,4.8,Drama,Samuel Fröler,1997,187,1h 49m
The Corporate Ladder (1997) - IMDb,Nick Vallelonga,4.8,Action,Robert R. Shafer,1997,264,1h 52m
Corps et âmes (1994) - IMDb,Aude Vermeil,8.2,Drama,Catia Riccaboni,1994,6,1h 25m
Running Against (TV Movie 1996) - IMDb,Antonio Tibaldi,7.6,Drama,Nino Bizzarri,1996,30,1h 33m
Corsarios del chip (1996) - IMDb,Rafael Alcázar,5.4,Action,Fernando Guillén Cuervo,1996,57,1h 36m
Things I Never Told You (1996) - IMDb,Isabel Coixet,6.7,Comedy,Andrew McCarthy,1996,1.6K,1h 33m
Cosi (1996) - IMDb,Mark Joffe,6.6,Dark Comedy,Louis Nowra,1996,2.3K,1h 40m
Cosmic Voyage (Short 1996) - IMDb,Bayley Silleck,7.6,Documentary,Bayley Silleck,1996,794,36m
Countdown (1996) - IMDb,Keoni Waxman,3.9,Crime,Yûki Amami,1996,303,1h 30m
Country Boy (Short 1996) - IMDb,Sébastien Lafarge,N/A,Short,N/A,1996,N/A,23m
Coup de vice (1996) - IMDb,Patrick Levy,5.1,Comedy,Patrick Levy,1996,19,1h 25m
Courage Under Fire (1996) - IMDb,Edward Zwick,6.6,Action,Denzel Washington,1996,61K,1h 56m
Courage and Pain (1996) - IMDb,Patricia Benoit,N/A,Documentary,N/A,1996,N/A,N/A
Cowgirl (Short 1996) - IMDb,Sunny Lee,3.8,Short,Sandra Oh,1996,7,17m
Coyote Run (1996) - IMDb,Shimon Dotan,4.3,Action,Michael Paré,1996,242,1h 41m
Coyote Summer (1996) - IMDb,Matias Alvarez,5.6,Action,Vinessa Shaw,1996,219,1h 33m
Cradle Song (TV Movie 1996) - IMDb,Frank Moore,N/A,Drama,"Austin, Texas, USA",1996,N/A,1996
The Craft (1996) - IMDb,Andrew Fleming,6.4,Supernatural Fantasy,Peter Filardi,1996,113K,1h 41m
Crash (1996) - IMDb,David Cronenberg,6.4,Drama,James Spader,1996,68K,1h 40m
Crash Dive (Video 1996) - IMDb,Andrew Stevens,4.4,Action,Michael Dudikoff,1996,1K,R
Crash Kids (TV Movie 1996) - IMDb,Petra Haffter,6.3,Drama,Isabell Gerschke,1996,32,1h 29m
Crashendo (Short 1996) - IMDb,Yas Takata,8.8,Adventure,N/A,1996,10,4m
O Cravo da Liberdade (1996) - IMDb,Portugal,N/A,Animation,N/A,1996,N/A,N/A
Crazy Horse (TV Movie 1996) - IMDb,John Irvin,6.3,Action,Michael Greyeyes,1996,560,TV-14
Cresceranno i carciofi a Mimongo (1996) - IMDb,Fulvio Ottaviano,6.4,Comedy,Daniele Liotti,1996,224,1h 20m
Le cri de Tarzan (1996) - IMDb,Thomas Bardinet,5.2,Comedy,Hamida Bedjaoui,1996,17,1h 52m
Le cri de la soie (1996) - IMDb,Yvon Marciano,6.6,Drama,Sergio Castellitto,1996,185,1h 50m
Crime of the Century (TV Movie 1996) - IMDb,Mark Rydell,7.1,True Crime,Stephen Rea,1996,911,PG-13
Voice from the Grave (TV Movie 1996) - IMDb,David Jackson,5.5,Drama,Bill Phillips,1996,194,1h 26m
Crimetime (1996) - IMDb,George Sluizer,4.6,Crime,Stephen Baldwin,1996,922,1h 58m
The Criminal Mind (1993) - IMDb,Joseph Vittorie,3.7,Action,Frank Rossi,1993,134,1h 33m
Criminals (1997) - IMDb,Joseph Strick,6.4,Documentary,N/A,1997,31,1h 13m
Critical Choices (TV Movie 1996) - IMDb,Claudia Weill,5.9,Drama,Betty Buckley,1996,86,R
Cronache del terzo millennio (1996) - IMDb,Francesco Maselli,3.6,Drama,Sara Altieri,1996,9,1h 25m
Crosscut (1995) - IMDb,Paul Raimondi,5.4,Action,Costas Mandylor,1995,166,1h 38m
"""Screen Two"" Crossing the Floor (TV Episode 1996) - IMDb",Guy Jenkin,8.5,Drama,Tom Wilkinson,TV-14,79,1h 10m
Juk sing mooi: Yee ah suen ah (1996) - IMDb,Jamie Luk,6.0,Drama,Liz Atkinson,1996,11,1h 39m
Crossroads (1996) - IMDb,N/A,6.1,N/A,N/A,1996,8,N/A
Crossworlds (1996) - IMDb,Krishna Rao,5.3,Action,Rutger Hauer,1996,3.2K,1h 31m
The Crow: City of Angels (1996) - IMDb,Tim Pope,4.6,Dark Comedy,Vincent Perez,1996,23K,1h 24m
Crowded Afternoon (Video 1996) - IMDb,Mario Pollak,N/A,N/A,N/A,1996,N/A,1996
The Crucible (1996) - IMDb,Nicholas Hytner,6.8,Legal Drama,Arthur Miller,1996,41K,2h 4m
The Crying Child (TV Movie 1996) - IMDb,Robert Michael Lewis,4.7,Drama,Mariel Hemingway,1996,201,PG-13
Cuba Libre (TV Movie 1996) - IMDb,Christian Petzold,6.8,Comedy,Richy Müller,1996,118,1h 32m
A Body in the Woods (1996) - IMDb,Joaquim Jordà,6.3,Thriller,Rossy de Palma,1996,133,1h 32m
Penniless Hearts (1996) - IMDb,Giuseppe Piccioni,6.2,Comedy,Giulio Scarpati,1996,159,1h 43m
Cupid and Psycho (Short 1996) - IMDb,Alan Bloom,N/A,Short,N/A,1996,N/A,N/A
Curdled (1996) - IMDb,Reb Braddock,5.9,Dark Comedy,Reb Braddock,1996,5.7K,1h 28m
Custody (1999) - IMDb,Christopher Gosch,5.0,N/A,Candance Gosch,1999,7,N/A
Cwal (1996) - IMDb,Krzysztof Zanussi,6.6,Comedy,Maja Komorowska,1996,368,1h 44m
A Starry Sky (1996) - IMDb,Tata Amaral,7.0,Drama,Jean-Claude Bernardet,1996,140,1h 10m
"""Dalziel and Pascoe"" An Advancement of Learning (TV Episode 1996) - IMDb",Maurice Phillips,7.5,Crime,Howard Crossley,TV-14,216,1h 30m
"""Dalziel and Pascoe"" An Autumn Shroud (TV Episode 1996) - IMDb",Richard Standeven,7.7,Crime,James Daniel Wilson,TV-14,207,1h 35m
La dama regresa (1996) - IMDb,Jorge Polaco,3.8,Drama,Friedrich Dürrenmatt,1996,108,1h 40m
Anal Institution (Video 1996) - IMDb,Jonathan Morgan,6.2,Adult,Nikki Brantz,1996,12,X
Forbidden City Cop (1996) - IMDb,Stephen Chow,6.9,Action,Stephen Chow,1996,4.8K,1h 29m
Non-Stop (1996) - IMDb,Sabu,6.8,Action,Tomorô Taguchi,1996,935,1h 22m
Danger Zone (1996) - IMDb,Allan Eastman,4.4,Action,Billy Zane,1996,1K,1h 32m
Dangerous Cargo (1996) - IMDb,Eric Louzil,6.5,Thriller,Margaux Hemingway,1996,58,1h 31m
Dangerous Offender: The Marlene Moore Story (TV Movie 1996) - IMDb,Holly Dale,7.4,Drama,Robert Joy,1996,69,1996
Full Circle (TV Movie 1996) - IMDb,Bethany Rooney,5.4,Drama,Teri Polo,1996,372,TV-PG
Remembrance (TV Movie 1996) - IMDb,Bethany Rooney,6.1,Drama,Eva LaRue,1996,347,TV-PG
"""American Masters"" Danny Kaye: A Legacy of Laughter (TV Episode 1996) - IMDb",Bob Marty,8.0,Biography,Danny Kaye,TV-14,97,1h 2m
Danish Girls Show Everything (1996) - IMDb,David Blair,6.0,Drama,David Blair,1996,89,1h 33m
Dante and the Debutante (1996) - IMDb,Chazz Palminteri,7.6,Comedy,N/A,1996,34,N/A
Daraar (1996) - IMDb,Abbas Alibhai Burmawalla,5.3,Action,Aadesh K. Arjun,1996,623,1h 45m
Dark Angel (TV Movie 1996) - IMDb,Robert Iscove,4.8,Action,John Romano,1996,368,1h 30m
Dark Breed (1996) - IMDb,Richard Pepin,4.2,Space Sci-Fi,Jack Scalia,1996,721,1h 44m
Dark Desires: A Taste for Murder (TV Movie 1997) - IMDb,Patrice Gautier,5.1,Crime,Michelle Bestbier,1997,12,1h 40m
Dark Desires: Crime of Love (TV Movie 1997) - IMDb,Neal Sundstrom,4.1,N/A,Béatrice Valle,1997,11,1h 30m
Dark Desires: The Other Side of the Mirror (TV Movie 1997) - IMDb,Neal Sundstrom,5.5,Drama,Pascale Nielsen,1997,12,1h 30m
Dark Planet (1997) - IMDb,Albert Magnoli,3.4,Mystery,Paul Mercurio,1997,831,1h 39m
Dark Secrets (1996) - IMDb,John T. Bone,4.4,Erotic Thriller,Justin Carroll,1996,223,1h 31m
Darkdrive (1997) - IMDb,Phillip J. Roth,3.2,Action,Gian-Carlo Scandiuzzi,1997,561,1h 28m
Darkman III: Die Darkman Die (Video 1996) - IMDb,Bradford May,4.7,Superhero,Jeff Fahey,1996,4.4K,R
"""Heimatgeschichten"" Das wird schon werden (TV Episode 1995) - IMDb",Stefan Lukschy,N/A,Comedy,Inge Meysel,N/A,N/A,N/A
Dastak (1996) - IMDb,Mahesh Bhatt,4.8,Drama,Sushmita Sen,1996,352,2h 21m
Dating the Enemy (1996) - IMDb,Megan Simpson Huberman,6.4,Body Swap Comedy,Claudia Karvan,1996,2K,1h 37m
David (Short 1996) - IMDb,Carles Sans,N/A,Short,Òscar Castellví,1996,N/A,11m
David's Book (1996) - IMDb,Lasse Spang Olsen,5.6,Thriller,Tomas Villum Jensen,1996,145,1h 37m
Day of the Warrior (1996) - IMDb,Andy Sidaris,3.8,Action,Kevin Light,1996,1.7K,1h 36m
Daylight (1996) - IMDb,Rob Cohen,5.9,Action,Sylvester Stallone,1996,78K,1h 54m
The Daytrippers (1996) - IMDb,Greg Mottola,7.0,Comedy,Hope Davis,1996,7.6K,1h 27m
De e' ju dej jag vill ha! (Short 1996) - IMDb,"December 16, 1996 (Sweden)",N/A,Short,"December 16, 1996 (Sweden)",1996,N/A,3m
De jazmín en flor (Short 1996) - IMDb,Daniel Gruener,7.3,Comedy,N/A,1996,27,13m
"De tripas, corazón (Short 1996) - IMDb",Antonio Urrutia,7.1,Comedy,Elpidia Carrillo,1996,188,16m
Dead Ahead (TV Movie 1996) - IMDb,Stuart Cooper,5.5,Action,Stephanie Zimbalist,1996,222,PG-13
Dead Girl (1996) - IMDb,Adam Coleman Howard,4.3,Comedy,Anne Parillaud,1996,362,1h 44m
Dead Heart (1996) - IMDb,Nick Parsons,6.6,Drama,Nick Parsons,1996,306,1h 44m
Dead Innocent (1997) - IMDb,Sara Botsford,5.2,Horror,Geneviève Bujold,1997,288,1h 31m
Dead Man's Island (TV Movie 1996) - IMDb,Peter Roger Hunt,4.8,Mystery,Barbara Eden,1996,313,TV-14
Dead of Night (1996) - IMDb,Kristoffer Tabori,4.3,Horror,John Enos III,1996,186,1h 35m
Deadline (1996) - IMDb,Finland,N/A,N/A,N/A,1996,N/A,N/A
Deadlock: A Passion for Murder (1997) - IMDb,Richard W. Munchkin,4.4,Erotic Thriller,Doug Jeffery,1997,138,1h 28m
Deadly Charades (Video 1996) - IMDb,Kelley Cauthen,4.5,Drama,Lesli Kay,1996,72,R
Deadly Contact (1996) - IMDb,Robert Floto,5.7,Horror,Glenn Meek,1996,13,N/A
Deadly Heroes (1993) - IMDb,Menahem Golan,3.6,Action,Menahem Golan,1993,472,1h 45m
"""Screen Two"" Deadly Voyage (TV Episode 1996) - IMDb",John Mackenzie,6.6,Drama,Omar Epps,R,683,1h 30m
Deadly Web (TV Movie 1996) - IMDb,Jorge Montesi,4.8,Drama,Gigi Rice,1996,209,1h 27m
Dear Diary (Short 1996) - IMDb,David Frankel,6.1,Comedy,Bebe Neuwirth,1996,132,22m
Dear God (1996) - IMDb,Garry Marshall,5.5,Comedy,Greg Kinnear,1996,4.3K,1h 52m
Death Game (TV Movie 1996) - IMDb,Randy Cheveldave,3.7,Action,Timothy Bottoms,1996,170,R
"""Cuentos de Borges"" Death and the Compass (TV Episode 1992) - IMDb",Alex Cox,5.9,Drama,Peter Boyle,Not Rated,523,1h 26m
Death Game (TV Movie 1996) - IMDb,Randy Cheveldave,3.7,Action,Timothy Bottoms,1996,170,R
El dedo en la llaga (1996) - IMDb,Alberto Lecchi,6.5,Comedy,Darío Grandinetti,1996,94,1h 55m
Deep Cover (1997) - IMDb,Nicholas Celozzi,5.1,Martial Arts,Cynthia Rothrock,1997,167,1h 48m
Deep Secrets (TV Movie 1996) - IMDb,Diarmuid Lawrence,6.9,Crime,Colin Salmon,1996,44,1h 25m
Eddie Izzard: Definite Article (Video 1996) - IMDb,Ed Bye,8.3,Stand-Up,N/A,1996,2.2K,Unrated
Dein tödliches Lächeln (TV Movie 1996) - IMDb,Kai Borsche,N/A,Thriller,Edouard Bouzy,1996,N/A,1h 30m
Delitti a luce rossa (1996) - IMDb,Pasquale Fanetti,5.9,Crime,Albert Barney,1996,62,1h 22m
"Delphine 1, Yvan 0 (1996) - IMDb",Dominique Farrugia,5.2,Comedy,Julie Gayet,1996,528,1h 31m
The Delta (1996) - IMDb,Ira Sachs,5.6,Coming-of-Age,Shayne Gray,1996,990,1h 25m
Demasiado caliente para ti (1996) - IMDb,Javier Elorrieta,3.6,Comedy,Javier Elorrieta,1996,16,1h 30m
Demolition High (Video 1996) - IMDb,Jim Wynorski,4.5,Action,Corey Haim,1996,954,R
Night of the Demons III (Video 1997) - IMDb,Jim Kaufman,4.6,Fantasy,Larry Day,1997,3.1K,R
Demon in the Bottle (1996) - IMDb,Randall William Cook,5.1,Adventure,Randall Fontana,1996,174,1h 25m
The Dentist (1996) - IMDb,Brian Yuzna,5.4,Dark Comedy,Corbin Bernsen,1996,11K,1h 32m
Depois do Escuro (Short 1996) - IMDb,Dirceu Lustosa,5.3,Short,Catarina Accioly,1996,15,15m
Depth Solitude (1997) - IMDb,Tracy R. West,N/A,Documentary,James Anderson,1997,N/A,1h 45m
Le dernier bataillon (1996) - IMDb,Canada,N/A,N/A,N/A,1996,N/A,N/A
Le dernier chaperon rouge (Short 1998) - IMDb,Jan Kounen,7.1,Dark Fantasy,Emmanuelle Béart,1998,622,26m
Des lendemains qui chantent (1996) - IMDb,Caroline Chomienne,N/A,N/A,Pierre Allio,1996,N/A,1h 10m
Des nouvelles du bon Dieu (1996) - IMDb,Didier Le Pêcheur,7.1,Comedy,Didier Le Pêcheur,1996,512,1h 40m
Desde adentro (Short 1996) - IMDb,Dominique Jonard,N/A,Short,N/A,1996,N/A,10m
Desert (Short 1996) - IMDb,Jay Johnston,9.7,Short,N/A,1996,46,N/A
Desired (1995) - IMDb,Bernard Murat,6.0,Comedy,Jean-Paul Belmondo,1995,236,1h 33m
Desolation Angels (1995) - IMDb,Tim McCann,7.0,Drama,Michael Rodrick,1995,116,1h 34m
Wake Up Love (1996) - IMDb,Eliseo Subiela,6.8,Comedy,Juan Leyrado,1996,359,1h 38m
O Despertador (Short 1996) - IMDb,Júlio Alves,4.0,Comedy,Nuno Melo,1996,22,N/A
The Destiny of Marty Fine (1996) - IMDb,Michael Hacker,5.3,Drama,Alan Gelfant,1996,118,1h 25m
Deszczowy zolnierz (1996) - IMDb,Wieslaw Saniewski,5.9,Drama,Mariusz Bonaszewski,1996,29,1h 42m
Determined (1995) - IMDb,George Felner,N/A,Comedy,N/A,1995,N/A,N/A
Les 2 papas et la maman (1996) - IMDb,Jean-Marc Longval,3.2,Comedy,Smaïn,1996,304,1h 30m
The Devil Takes a Holiday (1996) - IMDb,Leon Corcos,5.9,Satire,Joel Avalos,1996,39,1h 42m
Devil's Food (TV Movie 1996) - IMDb,George Kaczender,5.1,Comedy,Suzanne Somers,1996,141,TV-PG
Di ba zong zui (1996) - IMDb,John Hau,6.8,Crime,Ka-Tung Lam,1996,12,1h 29m
Diabolique (1996) - IMDb,Jeremiah S. Chechik,5.5,Erotic Thriller,Pierre Boileau,1996,16K,1h 47m
Dialogue au sommet (Short 1996) - IMDb,Xavier Giannoli,6.2,Short,François Cluzet,1996,23,8m
Diamond Run (1996) - IMDb,David Giancola,4.6,Action,Linda Ljoka,1996,88,1h 50m
Diamonds in the Rough (1996) - IMDb,Serge Rodnunsky,5.5,Comedy,Jim Gray,1996,36,1h 40m
Dian ying gu shi (1996) - IMDb,Mei-Yee Sze,7.4,Drama,Amanda Lee,1996,6,1h 37m
Dirty Tricks 2: This Ain't Love (Video 1996) - IMDb,John Leslie,6.2,Adult,Tricia Devereaux,1996,27,2h 11m
The Disappearance of Kevin Johnson (1996) - IMDb,Francis Megahy,5.3,Satire,Pierce Brosnan,1996,296,1h 45m
Disgraced Monuments (1994) - IMDb,Mark Lewis,7.3,Documentary,"March 12, 1996 (United States)",1994,18,50m
Disruptor (Video Game 1996) - IMDb,Tami Heide,7.7,Action,Tami Heide,1996,48,T
Diva (1996) - IMDb,José Pedro Cavalheiro,6.0,Animation,N/A,1996,14,N/A
Djed i baka se rastaju (TV Movie 1996) - IMDb,Zvonimir Ilijic,6.5,Drama,Ivan Tomljenovic,1996,65,1h 25m
